"receiver_id","purchasing_organisation","project_operatedby","installation_name","station_name","receiver_deployment_id","deployment_date","deployment_longitude","deployment_latitude","recovery_date","recovery_longitude","recovery_latitude","receiver_status"
"VR2W-136075","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","Aquila Island MMP",139602847,2020-07-12 04:50:00,149.581,21.957,NA,NA,NA,"NEW"
"VR2AR-546299","IMOS-ATF","IMOS-ATF Sydney Gate","IMOS-ATF Sydney Gate","SG 4",139418783,2020-07-10 11:48:00,151.29797,-33.82645,NA,NA,NA,"NEW"
"VR2AR-545646","IMOS-ATF","IMOS-ATF Sydney Gate","IMOS-ATF Sydney Gate","SG 3",139418781,2020-07-10 11:33:00,151.29417,-33.83073,NA,NA,NA,"NEW"
"VR2AR-545658","IMOS-ATF","IMOS-ATF Sydney Gate","IMOS-ATF Sydney Gate","SG 2",139418779,2020-07-10 11:17:00,151.2914,-33.83384,NA,NA,NA,"NEW"
"VR2AR-545644","IMOS-ATF","IMOS-ATF Sydney Gate","IMOS-ATF Sydney Gate","SG 1",139418777,2020-07-10 11:01:00,151.28833,-33.83732,NA,NA,NA,"NEW"
"VR2Tx-484782","IMOS-ATF","IMOS-ATF Cabbage Tree Bay Aquatic Reserve (CTBAR)","IMOS-ATF CTBAR","CTBAR NewNorth",138676763,2020-07-08 11:52:00,151.295083,-33.798622,NA,NA,NA,"NEW"
"VR2Tx-484785","IMOS-ATF","IMOS-ATF Cabbage Tree Bay Aquatic Reserve (CTBAR)","IMOS-ATF CTBAR","CTBAR Outside NEW",138676765,2020-07-08 11:17:00,151.30563,-33.80087,NA,NA,NA,"NEW"
"VR2AR-545643","IMOS-ATF","IMOS-ATF Portland Line","IMOS-ATF Portland Line","PTLD1",138674715,2020-06-29 01:47:00,141.365204,-38.385902,NA,NA,NA,"NEW"
"VR2AR-546551","IMOS-ATF","IMOS-ATF Portland Line","IMOS-ATF Portland Line","PTLD2",138674740,2020-06-29 01:35:00,141.35945,-38.38737,NA,NA,NA,"NEW"
"VR2AR-546252","IMOS-ATF","IMOS-ATF Portland Line","IMOS-ATF Portland Line","PTLD3",138674742,2020-06-29 01:30:00,141.35298,-38.38879,NA,NA,NA,"NEW"
"VR2AR-545592","IMOS-ATF","IMOS-ATF Portland Line","IMOS-ATF Portland Line","PTLD4",138674744,2020-06-29 01:17:00,141.34554,-38.39055,NA,NA,NA,"NEW"
"VR2AR-545595","IMOS-ATF","IMOS-ATF Portland Line","IMOS-ATF Portland Line","PTLD5",138674746,2020-06-29 01:04:00,141.33748,-38.39252,NA,NA,NA,"NEW"
"VR2AR-546297","IMOS-ATF","IMOS-ATF Portland Line","IMOS-ATF Portland Line","PTLD6",138674748,2020-06-29 00:52:00,141.3289,-38.39483,NA,NA,NA,"NEW"
"VR2AR-546549","IMOS-ATF","IMOS-ATF Portland Line","IMOS-ATF Portland Line","PTLD7",138674750,2020-06-29 00:37:00,141.31929,-38.39707,NA,NA,NA,"NEW"
"VR2AR-546253","IMOS-ATF","IMOS-ATF Portland Line","IMOS-ATF Portland Line","PTLD8",138674752,2020-06-29 00:24:00,141.30998,-38.39949,NA,NA,NA,"NEW"
"VR2AR-545638","IMOS-ATF","IMOS-ATF Portland Line","IMOS-ATF Portland Line","PTLD9",138772828,2020-06-29 00:12:00,141.30051,-38.401767,NA,NA,NA,"NEW"
"VR2AR-546256","IMOS-ATF","IMOS-ATF Portland Line","IMOS-ATF Portland Line","PTLD10",138772830,2020-06-28 23:55:00,141.29147,-38.40396,NA,NA,NA,"NEW"
"VR2W-136073","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","Repulse Bay MMP",138676753,2020-06-14 02:40:00,148.861233,-20.577933,NA,NA,NA,"NEW"
"VR2W-136074","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","Double Cone Island MMP",138676749,2020-06-13 23:00:00,148.72175,-20.1048167,NA,NA,NA,"NEW"
"VR2W-110477","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB15",138676690,2020-06-11 03:20:00,150.7071,-35.12063333,NA,NA,NA,NA
"VR2W-121563","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB16",138676699,2020-06-11 02:46:00,150.7283167,-35.13406667,NA,NA,NA,NA
"VR2W-104131","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB17",138676708,2020-06-11 02:22:00,150.7475667,-35.13058333,NA,NA,NA,NA
"VR2W-122032","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB18",138676717,2020-06-11 01:48:00,150.7531667,-35.12335,NA,NA,NA,NA
"VR2W-109594","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB19",138676726,2020-06-11 01:27:00,150.7640167,-35.12125,NA,NA,NA,NA
"VR2W-125790","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB20",138676735,2020-06-11 01:00:00,150.7662,-35.1140833333333,NA,NA,NA,NA
"VR2W-115232","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB10",138676681,2020-06-11 00:10:00,150.695583333333,-35.09691667,NA,NA,NA,NA
"VR2W-100991","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB9",138676672,2020-06-10 23:32:00,150.6956,-35.090616,NA,NA,NA,NA
"VR2W-136072","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","Dunk Island MMP",138676751,2020-05-31 23:00:00,146.146,-17.926,NA,NA,NA,"NEW"
"VR2AR-545602","IMOS-ATF","IMOS-ATF / OTN Maria Island line","IMOS-ATF / OTN Maria Island line","MIL 13",138664189,2020-05-26 11:22:00,148.23441,-42.67455,NA,NA,NA,NA
"VR2AR-545590","IMOS-ATF","IMOS-ATF / OTN Maria Island line","IMOS-ATF / OTN Maria Island line","MIL 12",138664187,2020-05-26 11:19:00,148.22551,-42.67127,NA,NA,NA,NA
"VR2AR-545603","IMOS-ATF","IMOS-ATF / OTN Maria Island line","IMOS-ATF / OTN Maria Island line","MIL 11",138664185,2020-05-26 11:15:00,148.21683,-42.66785,NA,NA,NA,NA
"VR2AR-545955","IMOS-ATF","IMOS-ATF / OTN Maria Island line","IMOS-ATF / OTN Maria Island line","MIL 10",138664183,2020-05-26 11:11:00,148.2084,-42.6646,NA,NA,NA,"NEW"
"VR2AR-545636","IMOS-ATF","IMOS-ATF / OTN Maria Island line","IMOS-ATF / OTN Maria Island line","MIL 9",138664181,2020-05-26 11:07:00,148.199458,-42.66126,NA,NA,NA,"NEW"
"VR2AR-545645","IMOS-ATF","IMOS-ATF / OTN Maria Island line","IMOS-ATF / OTN Maria Island line","MIL 8",138664179,2020-05-26 11:03:00,148.19064,-42.65789,NA,NA,NA,"NEW"
"VR2AR-545652","IMOS-ATF","IMOS-ATF / OTN Maria Island line","IMOS-ATF / OTN Maria Island line","MIL 7",138664177,2020-05-26 10:58:00,148.1819,-42.65467,NA,NA,NA,"NEW"
"VR2AR-545637","IMOS-ATF","IMOS-ATF / OTN Maria Island line","IMOS-ATF / OTN Maria Island line","MIL 6",138664175,2020-05-26 10:55:00,148.17368,-42.65162,NA,NA,NA,"NEW"
"VR2W-136064","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","Pelican Island MMP",138612005,2020-05-02 22:20:00,150.874483,-23.2389167,NA,NA,NA,"NEW"
"VR2Tx-484597","AIMS","IMOS / AIMS Acoustic Telemetry Array Queensland","Coastal Array Queensland","North Keppel Island MMP",138611996,2020-05-02 01:50:00,150.905183,-23.08645,NA,NA,NA,"NEW"
"VR2W-101858","IMOS-ATF","IMOS-ATF / CSIRO Ningaloo Reef Ecosystem Tracking Array (NRETA)","IMOS-ATF Coral Bay","bb5",138613609,2020-05-02 03:50:00,113.7922,-23.048067,NA,NA,NA,"NEW"
"VR2W-112848","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB12",138676032,2020-04-17 02:20:00,150.673316666667,-35.02845,NA,NA,NA,NA
"VR2W-111365","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB13",138676019,2020-04-17 01:36:00,150.6707,-35.034316,NA,NA,NA,NA
"VR2W-123882","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB8",138676030,2020-03-30 02:20:00,150.69497,-35.085283,NA,NA,NA,"NEW"
"VR2W-102430","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JBSG7",138676469,2020-03-30 00:53:00,150.76234,-34.99546,NA,NA,NA,NA
"VR2W-109610","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JBSG8",138676471,2020-03-30 00:32:00,150.76691,-35.00441,NA,NA,NA,NA
"VR2W-121140","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JBSG10",138676481,2020-03-30 00:10:00,150.76524,-35.0138,NA,NA,NA,NA
"VR2W-130819","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB27",138676034,2020-03-29 23:50:00,150.7687,-35.02231,NA,NA,NA,"NEW"
"VR2W-122033","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB28",138676036,2020-03-29 23:33:00,150.77541,-35.02758,NA,NA,NA,NA
"VR2W-121557","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB29",138676038,2020-03-29 23:05:00,150.78203,-35.0425,NA,NA,NA,NA
"VR2W-130820","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB30",138676040,2020-03-29 22:42:00,150.77477,-35.05372,NA,NA,NA,"NEW"
"VR2W-111364","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JB31",138676042,2020-03-29 22:17:00,150.77219,-35.06719,NA,NA,NA,NA
"VR2W-101740","SARDI  ","IMOS-ATF South Australian Acoustic Tracking Network","Remote offshore islands (incl. Pearson/Flinders islands)","Flinders2",139664403,2020-03-28 14:00:00,134.51215,-33.676433,NA,NA,NA,"DEPLOYED"
"VR2W-105859","IMOS-ATF","IMOS-ATF South Australian Acoustic Tracking Network","Remote offshore islands (incl. Pearson/Flinders islands)","Flinders1",139646780,2020-03-27 14:00:00,134.475117,-33.685083,2020-03-28 14:00:00,134.475117,-33.685083,"NEW"
"VR2W-101674","SARDI  ","IMOS-ATF South Australian Acoustic Tracking Network","Remote offshore islands (incl. Pearson/Flinders islands)","Pearson2",139664398,2020-03-27 14:00:00,134.269983,-33.956583,NA,NA,NA,"RECOVERED"
"VR2W-106895","IMOS-ATF","IMOS-ATF South Australian Acoustic Tracking Network","Remote offshore islands (incl. Pearson/Flinders islands)","Pearson1",139646778,2020-03-27 14:00:00,134.269533,-33.939717,2020-03-28 14:00:00,134.269533,-33.939717,"RECOVERED"
"VR2W-101812","SARDI  ","IMOS-ATF South Australian Acoustic Tracking Network","Remote offshore islands (incl. Pearson/Flinders islands)","Pearson3",139664401,2020-03-27 14:00:00,134.270867,-33.96045,NA,NA,NA,"NEW"
"VR2Tx-481413","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JBSG12",138676523,2020-03-22 01:30:00,150.77831,-35.00056,NA,NA,NA,"NEW"
"VR2W-121141","NSW Department of Primary Industries","Bendalong Array","Bendalong Array","B3",138136547,2020-03-19 03:40:00,150.53682,-35.22651,NA,NA,NA,NA
"VR2W-114410","NSW Department of Primary Industries","Bendalong Array","Bendalong Array","B1",138136543,2020-03-19 03:20:00,150.55399,-35.21086,NA,NA,NA,"DEPLOYED"
"VR2W-100739","NSW Department of Primary Industries","Bendalong Array","Bendalong Array","B2",138136545,2020-03-19 02:08:00,150.54079,-35.22144,NA,NA,NA,NA
"VR2W-114415","NSW Department of Primary Industries","Bendalong Array","Bendalong Array","B4",138136549,2020-03-19 01:44:00,150.53387,-35.23399,NA,NA,NA,"DEPLOYED"
"VR2W-114411","NSW Department of Primary Industries","Bendalong Array","Bendalong Array","B5",138136551,2020-03-19 01:24:00,150.53314,-35.23916,NA,NA,NA,"DEPLOYED"
"VR2W-106293","NSW Department of Primary Industries","Bendalong Array","Bendalong Array","B6",138136553,2020-03-19 01:04:00,150.53801,-35.24316,NA,NA,NA,NA
"VR2W-123873","NSW Department of Primary Industries","Bendalong Array","Bendalong Array","B7",138136555,2020-03-19 00:48:00,150.54379,-35.24584,NA,NA,NA,"NEW"
"VR2W-111072","NSW Department of Primary Industries","Bendalong Array","Bendalong Array","B8",138136557,2020-03-19 00:24:00,150.54213,-35.25205,NA,NA,NA,NA
"VR2W-110476","NSW Department of Primary Industries","Bendalong Array","Bendalong Array","B9",138136559,2020-03-18 23:59:00,150.52997,-35.25892,NA,NA,NA,NA
"VR2W-121135","NSW Department of Primary Industries","Bendalong Array","Bendalong Array","B10",138136561,2020-03-18 23:35:00,150.5179,-35.2705,NA,NA,NA,NA
"VR2Tx-481412","NSW Department of Primary Industries","NSW DPI Jervis Bay","NSW DPI Jervis Bay array","JBSG22",138676525,2020-03-16 22:01:00,150.674604,-35.051259,NA,NA,NA,"NEW"
"VR2Tx-484044","IMOS-ATF","IMOS-ATF Chowder Bay Receiver Tests","Chowder Bay","SIMS Boat Ramp",139676060,2020-03-13 15:00:00,151.254759,-33.83959,2020-09-17 12:10:00,151.254759,-33.83959,"NEW"
"VR4-UWM-250389","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 2",138111959,2020-02-26 11:28:00,151.29607,-33.89854,2020-09-14 12:05:00,151.2959,-33.89854,NA
"VR4-UWM-250377","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 11",138111965,2020-02-26 10:43:00,151.3618,-33.9374,NA,NA,NA,NA
"VR4-UWM-250589","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 12",138111971,2020-02-26 10:28:00,151.36938,-33.94144,NA,NA,NA,"NEW"
"VR4-UWM-250588","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 13",138111990,2020-02-26 10:09:00,151.37657,-33.94585,NA,NA,NA,NA
"VR4-UWM-250372","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 14",138111996,2020-02-26 09:40:00,151.38373,-33.95093,NA,NA,NA,NA
"VR4-UWM-250388","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 15",138112002,2020-02-26 09:19:00,151.39116,-33.95526,NA,NA,NA,NA
"VR4-UWM-250580","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 10",138112004,2020-02-21 13:29:00,151.35411,-33.93296,NA,NA,NA,NA
"VR4-UWM-250397","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 9",138076124,2020-02-21 13:14:00,151.34563,-33.93003,NA,NA,NA,NA
"VR4-UWM-250399","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 8",138076118,2020-02-21 12:58:00,151.33841,-33.92557,NA,NA,NA,NA
"VR4-UWM-250383","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 7",138076112,2020-02-21 12:41:00,151.33139,-33.92137,2020-09-14 10:00:00,151.33139,-33.92137,NA
"VR4-UWM-250368","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 6",138076098,2020-02-21 12:23:00,151.32419,-33.91703,2020-09-14 11:51:00,151.32419,-33.91703,NA
"VR4-UWM-250369","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 5",138076092,2020-02-21 12:06:00,151.3168,-33.9127,2020-09-14 11:10:00,151.3168,-33.9127,NA
"VR4-UWM-250578","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 4",138076074,2020-02-21 11:49:00,151.31004,-33.90694,2020-09-14 11:26:00,151.31004,-33.90694,NA
"VR4-UWM-250583","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 3",138076068,2020-02-21 11:30:00,151.30295,-33.90273,2020-07-25 00:40:00,151.30295,-33.90273,"NEW"
"VR4-UWM-250401","IMOS-ATF","IMOS-ATF Bondi line","IMOS-ATF Bondi Line","BL 1",138076058,2020-02-21 10:54:00,151.28831,-33.89567,2020-09-14 12:17:00,151.28831,-33.89567,NA
"VR2AR-545593","IMOS-ATF","IMOS-ATF Sydney Gate","IMOS-ATF Sydney Gate","SG 4",138076052,2020-02-21 10:44:00,151.298,-33.82637,2020-07-10 11:40:00,151.298,-33.82637,NA
"VR2W-115417","NSW Department of Primary Industries","NSW DPI Coastal and Estuarine Fish Tracking (CEFT)","Port Stephens VPS","Station 7",138675270,2020-02-16 23:43:00,152.053976,-32.748219,2020-09-11 13:59:59,152.053976,-32.748219,NA
